flood_risk_3yr,weather_forecast_risk,aqi_forecast,strike_frequency,avg_weekly_earnings,tenure_weeks,past_claims_count,premium_target
15.79,61.66,18.73,1.69,4148.28,88,4,46.33
73.75,92.57,42.71,2.63,7337.8,72,12,60.86
75.94,93.25,71.45,1.34,5883.67,64,9,56.51
68.92,76.17,36.98,2.12,3583.95,27,1,56.29
28.52,4.11,1.79,2.31,6716.95,43,1,43.69
72.31,71.73,64.21,0.7,7540.92,92,2,50.54
51.17,46.81,32.37,2.91,5997.45,81,2,49.88
10.16,69.15,48.74,2.54,7881.93,82,12,55.92
48.24,34.97,9.72,1.97,7588.64,54,15,49.36
93.48,90.16,22.05,0.98,6054.12,104,7,51.49
93.46,62.52,86.86,2.33,4822.0,82,5,61.21
15.63,81.58,7.41,3.93,6395.22,94,9,55.54
8.08,4.4,14.06,1.92,5589.98,69,3,39.25
66.6,66.46,40.41,0.83,6879.6,82,7,50.73
86.89,40.46,27.79,3.29,3934.08,49,3,57.12
44.98,51.11,94.89,1.67,3941.9,1,1,52.92
19.62,51.29,51.77,4.52,7403.0,68,1,61.44
33.39,12.86,2.69,1.29,7436.29,82,14,45.26
30.48,89.97,17.46,4.1,5399.37,26,10,55.43
32.94,18.06,82.98,2.92,7064.86,2,12,55.55
23.88,14.69,25.0,3.51,7314.46,64,9,48.31
18.13,37.94,13.93,4.46,6815.81,76,11,57.52
15.59,96.43,5.06,1.01,6329.97,12,4,46.4
99.17,75.69,12.04,1.43,6187.98,54,15,56.56
93.38,68.98,47.57,3.13,6417.51,83,6,62.94
82.25,88.32,91.12,4.88,4753.97,69,11,72.78
87.46,82.91,35.09,4.7,6606.43,34,5,69.9
30.18,18.3,40.27,2.41,7111.05,40,8,47.41
19.44,84.42,86.96,3.29,4341.8,36,1,56.13
97.96,80.45,70.55,3.87,4390.92,74,11,67.1
53.92,42.81,22.66,2.06,5636.54,26,9,50.22
76.84,74.59,76.41,2.04,4170.87,45,12,58.93
74.2,43.71,93.25,3.12,3329.59,32,12,59.53
5.47,80.46,66.47,0.31,6589.83,52,12,43.09
45.73,18.0,1.94,4.34,3724.84,98,6,59.86
42.61,81.17,27.72,3.42,5739.24,67,6,59.47
89.64,0.29,49.82,2.08,7644.5,10,8,61.26
83.95,18.99,75.89,1.35,7270.86,71,0,51.04
37.95,55.92,4.25,3.17,4213.26,11,7,53.21
82.56,89.83,34.61,2.56,3183.34,94,12,57.61
90.07,49.92,27.63,1.34,5445.47,69,13,52.03
7.49,59.01,50.41,0.01,7188.13,23,2,39.85
74.59,12.16,95.91,1.38,3223.15,2,14,53.39
96.69,59.25,22.03,1.98,4920.96,34,0,54.93
29.95,93.82,67.77,0.59,5152.6,48,8,49.06
74.11,57.21,80.29,3.62,7470.48,54,12,64.91
57.27,71.7,2.57,4.04,7702.47,32,1,56.9
86.41,27.25,38.71,4.3,3359.08,70,11,64.16
75.22,13.69,6.91,2.25,7500.15,10,9,49.56
21.36,77.47,91.75,4.48,4382.93,100,7,65.15
57.61,36.49,41.18,3.42,7161.75,17,15,59.0
71.88,57.27,28.28,2.52,6804.56,32,3,58.81
45.39,30.92,93.34,0.43,7068.91,83,4,50.0
25.73,73.8,21.62,2.24,6645.95,49,14,53.07
4.61,44.36,61.34,0.15,3875.37,4,1,37.16
29.56,25.82,80.59,4.11,7139.47,6,5,66.48
71.66,86.09,65.75,4.52,3545.86,104,9,64.51
45.59,0.06,4.11,0.8,3521.24,90,7,35.3
29.44,63.16,79.21,4.29,5817.81,102,0,63.32
27.01,52.67,60.9,1.79,5738.95,94,10,50.49
25.66,80.22,72.67,3.65,5212.91,86,11,61.2
66.42,6.39,26.92,0.07,6869.92,75,13,43.66
39.38,80.67,98.72,1.3,6753.3,78,15,52.9
73.14,44.2,11.85,0.93,7784.9,58,2,50.56
60.59,63.27,70.31,2.43,7706.19,41,3,59.57
35.71,10.47,96.02,0.8,4576.59,86,14,45.7
85.35,62.01,70.94,1.58,4665.81,78,13,56.96
45.8,58.5,18.45,0.15,6382.59,6,10,43.88
76.01,36.79,76.51,1.16,5440.39,85,4,46.31
71.47,17.07,46.7,1.72,7333.89,2,6,53.82
47.55,83.17,2.32,2.1,6038.18,67,9,51.37
38.35,12.82,53.05,0.78,4154.56,57,14,42.3
43.88,97.32,17.8,4.3,4781.91,89,3,62.16
14.12,11.3,54.54,1.11,7823.03,25,13,47.14
79.4,18.58,88.41,4.77,4784.1,67,11,66.63
20.47,81.47,61.02,3.36,4565.31,39,0,50.79
73.88,94.44,10.76,1.81,7524.89,68,0,53.86
47.45,26.83,80.07,4.69,7065.57,7,6,63.16
95.06,56.36,78.43,0.66,3245.69,3,0,51.84
34.99,26.15,82.73,2.28,7923.13,56,2,51.91
90.99,19.35,42.99,0.09,5532.52,32,6,47.33
60.97,13.9,43.77,3.12,5621.4,73,0,47.47
83.14,36.29,35.2,2.82,4925.73,3,10,59.79
97.1,4.22,16.73,2.21,6660.41,34,6,54.35
11.42,48.62,48.94,0.68,7456.26,31,5,42.73
61.55,92.0,43.99,0.42,6278.02,80,3,50.52
99.4,8.3,90.55,0.55,4251.38,10,4,51.26
92.21,45.67,68.33,4.91,6759.33,75,1,70.47
91.07,83.96,28.95,0.8,4069.34,13,11,53.41
79.54,51.87,25.96,4.75,3198.5,12,7,69.66
75.56,70.42,88.8,1.1,3268.39,65,11,51.51
82.1,37.48,4.03,3.45,7740.5,90,0,56.02
72.07,98.06,55.02,2.4,4221.5,80,11,61.51
91.98,83.8,59.51,1.1,6463.3,29,0,57.12
71.12,17.98,77.52,3.32,7770.78,70,14,64.12
20.97,38.1,46.56,1.33,6451.87,53,3,43.11
88.77,63.82,94.36,3.77,5160.55,104,1,66.54
29.06,58.01,91.75,0.2,5830.42,93,5,40.97
2.94,9.39,92.82,4.27,4469.23,93,11,56.6
85.66,67.05,12.65,0.3,4785.21,66,0,45.01
35.62,47.53,10.96,2.04,6933.86,93,14,49.67
81.62,11.12,46.3,0.28,5630.56,98,0,45.11
27.86,95.06,41.88,2.49,7406.79,55,3,52.13
87.78,50.13,49.3,1.36,6387.43,0,10,53.88
59.71,35.15,41.83,0.8,5659.52,13,5,47.99
73.28,85.07,7.3,0.22,3794.94,69,4,46.24
0.64,17.17,95.55,0.62,4747.63,90,11,36.22
23.3,93.57,17.19,4.43,5015.66,4,4,61.39
33.24,25.47,89.69,3.68,7563.04,64,14,59.69
13.24,48.51,68.64,1.02,6771.34,10,15,44.19
5.19,30.76,80.71,1.63,5746.04,91,7,40.09
62.99,19.64,90.5,3.37,6927.1,77,8,58.82
99.5,36.46,32.13,3.97,4860.86,50,0,63.06
68.9,23.78,58.06,2.62,6121.19,12,8,57.67
95.51,17.96,11.8,4.61,7611.55,85,8,61.77
52.92,82.22,69.95,4.94,4760.92,76,2,63.76
48.99,5.32,3.01,4.42,5372.53,33,10,59.86
58.0,73.91,89.75,3.66,4283.17,67,1,59.05
29.3,2.85,37.29,4.3,4764.27,77,5,55.12
68.2,99.58,16.56,1.35,6215.16,31,2,51.11
7.24,16.82,83.36,2.39,6402.47,46,11,50.17
17.46,93.6,37.5,0.8,3386.73,101,11,40.93
8.02,63.92,40.17,4.05,5396.85,2,3,56.15
80.61,55.88,90.81,2.41,3371.0,38,12,61.15
15.59,50.62,1.34,0.3,6303.74,43,4,34.77
39.31,75.42,43.69,0.68,3477.51,74,14,47.35
69.43,2.46,3.15,0.47,4641.61,93,12,36.69
58.02,16.51,20.03,3.61,6796.75,30,4,57.55
81.87,60.78,18.67,4.06,3509.06,80,10,61.72
42.79,44.88,33.41,0.8,7917.62,100,3,39.59
2.83,0.36,44.16,0.18,6146.44,21,9,34.81
92.46,28.6,52.35,2.58,7725.44,23,15,58.88
17.22,55.54,6.09,3.87,7767.87,42,7,54.82
0.25,37.48,84.85,1.03,6545.59,95,6,41.68
91.73,52.81,30.67,2.9,3445.97,94,14,57.1
8.98,0.77,83.72,2.4,4867.95,0,10,45.9
70.64,88.64,33.77,4.99,5399.87,61,9,67.16
56.19,89.95,35.76,4.15,3834.02,98,2,62.72
78.64,83.86,11.52,2.8,4984.69,69,15,59.97
3.63,24.31,95.1,1.06,7428.84,11,11,42.21
43.0,44.71,39.24,2.6,5128.76,27,15,57.6
9.32,1.94,98.55,3.01,3665.23,2,12,52.76
83.97,47.69,78.38,0.54,5281.9,58,1,53.06
78.06,41.03,57.44,0.06,7451.52,29,1,42.36
81.26,38.84,74.17,1.58,5025.64,99,10,50.86
50.76,42.46,33.85,0.67,4720.88,28,12,46.17
11.27,99.09,51.45,3.95,6727.32,65,6,61.36
91.41,15.55,99.53,0.71,6844.75,85,2,48.96
70.0,64.66,65.58,4.79,7747.87,63,10,66.33
33.06,71.27,41.97,3.73,7411.1,86,12,57.4
38.5,46.4,14.43,3.24,7776.44,27,1,56.49
45.81,49.37,45.2,1.04,7358.45,63,6,49.34
10.18,80.39,57.03,3.09,4004.3,46,15,50.23
82.79,98.72,73.19,3.23,5058.45,101,4,65.1
2.84,79.61,6.25,3.92,4160.45,81,12,53.93
40.98,67.16,93.09,1.74,4444.63,5,12,52.72
90.12,16.41,35.81,1.45,4794.5,100,3,47.91
82.3,51.31,56.68,1.62,4421.14,29,7,51.94
70.62,47.69,54.33,1.33,3155.4,43,7,46.24
5.83,92.53,69.77,0.53,6567.83,68,15,44.73
36.38,0.97,94.81,0.51,4060.0,75,0,42.19
63.2,12.83,68.26,2.01,4673.79,77,6,50.53
52.51,23.84,37.98,0.13,7307.72,47,13,42.41
88.52,98.67,22.6,3.35,3980.82,52,5,68.79
62.52,23.22,24.6,3.74,6650.27,49,5,56.25
12.82,30.63,26.63,2.88,3978.31,33,1,44.67
65.12,81.17,25.16,0.97,7278.75,24,15,50.82
